PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
26	2	0	259	249	0	4	9	0	0	0
0	4	8	254	260	4	0	0	1536	-256	7680
0	0	45	320	298	29	0	0	6144	0	0
0	2	246	482	450	211	0	0	7680	-256	10752
0	94	1674	488	523	1636	82	0	5376	-256	15360
2	1460	1624	542	483	1845	1854	1	0	0	0
127	1713	1835	494	474	1626	1846	111	2816	0	9216
146	1581	1848	496	486	1597	2001	170	1024	0	29440
176	1824	2029	485	475	1438	1760	148	256	-256	23296
202	1773	1695	484	496	1714	1746	142	0	-256	3072
179	1605	1685	398	442	1724	1940	157	1024	-256	13824
181	1572	1354	253	242	1714	1962	157	1792	-256	4608
156	1359	81	194	220	64	2078	176	1536	-256	27904
152	193	0	217	217	0	270	157	2304	-256	6281472
0	29	0	255	257	0	36	56	1792	0	0
0	0	0	286	295	0	1	12	1280	-256	19968
0	0	0	346	297	0	0	0	1536	-256	29440
