PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
21	8	3	259	237	0	2	9	3328	-256	6267648
1	1	0	244	234	1	0	0	3584	-256	6276864
0	0	0	251	266	22	0	0	4096	-256	6278400
0	0	0	265	339	118	0	0	3840	-256	6265856
0	0	0	279	326	445	59	0	2816	-256	6234880
0	0	0	235	341	493	447	0	3840	-256	6255104
0	0	0	226	346	507	572	36	4096	-256	6261248
0	0	3	252	340	501	594	52	2816	-256	4608
0	0	0	266	325	509	575	52	2560	-256	6272256
0	0	0	220	344	484	555	57	2304	-256	6273792
0	0	3	234	292	472	557	58	2560	-256	6273792
0	0	1	249	245	378	551	52	3584	-256	6273792
0	0	0	246	232	38	494	60	2304	-256	18432
0	0	0	246	252	0	112	48	2816	-256	0
0	0	0	261	258	0	25	21	5376	-256	0
0	0	0	192	189	0	4	0	3328	-256	0
0	0	0	269	342	0	0	0	1280	-256	6144
