PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
10	0	0	1929	2266	4	19	15	3010304	-1287680	282624
10	0	0	1929	2269	6	21	15	3010304	-1287680	282624
5	0	0	1931	2261	2	16	16	3010304	-1287680	282624
8	0	0	1933	2266	11	18	26	3010304	-1287680	282624
8	0	0	1933	2266	11	18	26	3010304	-1287680	282624
9	0	0	1938	2266	2	8	14	3010304	-1287680	282624
9	0	0	1933	2278	4	17	14	3010304	-1287680	282624
9	0	0	1925	2269	7	9	15	3010304	-1287680	282624
7	0	0	1939	2274	6	21	14	3010304	-1287680	282624
7	0	0	1939	2274	6	21	14	3010304	-1287680	282624
8	0	0	1931	2263	4	22	15	3010304	-1287680	282624
8	0	0	1942	2280	1	15	15	3010304	-1287680	282624
4	0	0	1759	2210	8	20	14	3010304	-1287680	282624
9	0	0	1212	1294	2	20	15	3010304	-1287680	282624
9	0	0	1212	1294	2	20	15	3010304	-1287680	282624
7	3	4	1077	918	1	15	16	3010304	-1287680	282624
7	3	4	701	734	4	11	16	3010304	-1287680	282624
5	0	0	567	466	4	18	19	3010304	-1287680	282624
8	0	3	370	304	0	21	17	3010304	-1287680	282624
8	0	3	370	304	0	21	17	3011328	-1287168	288768
8	0	0	269	262	1	29	14	3014400	-1286400	296704
7	0	0	273	245	6	11	14	3024640	-1283072	298240
7	0	0	273	245	6	11	14	3032832	-1280512	305920
3	0	4	268	293	12	12	9	3035136	-1279744	307456
3	0	4	268	293	12	12	9	3042048	-1277696	305920
2	1	0	280	286	3	8	10	3047424	-1275904	302848
0	0	0	313	313	8	9	10	3055872	-1273344	301312
0	0	0	313	313	8	9	10	3063552	-1271040	299776
2	0	0	334	325	6	6	4	3066880	-1270016	296704
2	0	0	334	325	6	6	4	3074048	-1267712	301312
5	0	1	347	354	8	2	6	3077632	-1266688	308992
3	0	0	345	367	9	0	4	3086080	-1263872	304384
3	0	0	345	367	9	0	4	3094272	-1261312	302848
5	0	5	407	427	14	5	0	3097344	-1260544	299776
5	0	5	407	427	14	5	0	3105024	-1257984	293632
0	0	17	440	457	19	0	0	3109888	-1256704	288768
6	0	20	569	534	29	2	0	3117568	-1254400	284160
6	0	20	569	534	29	2	0	3118848	-1254144	284160
1	0	21	440	454	33	9	5	3118848	-1254144	284160
1	0	21	440	454	33	9	5	3120128	-1253632	282624
0	0	36	365	331	33	8	0	3127808	-1251328	278016
0	0	32	375	336	37	7	0	3133184	-1249792	282624
0	0	32	375	336	37	7	0	3140352	-1247744	292096
1	0	61	400	385	58	2	0	3143424	-1246976	295168
1	0	61	400	385	58	2	0	3152128	-1244160	299776
1	0	82	406	407	67	11	0	3160064	-1241600	313856
1	0	107	456	510	101	10	0	3163648	-1240576	312064
1	0	107	456	510	101	10	0	3170304	-1238528	301312
0	3	159	514	536	124	21	0	3173632	-1237504	296704
0	3	159	514	536	124	21	0	3179776	-1235456	293632
0	6	207	548	559	144	15	0	3179776	-1235456	293632
0	5	210	386	401	155	15	0	3179776	-1235456	292096
0	5	210	386	401	155	15	0	3184640	-1234176	292096
0	4	257	356	319	177	17	0	3188736	-1232896	288768
0	4	257	356	319	177	17	0	3198464	-1229824	293632
0	15	401	385	368	226	26	0	3205120	-1227776	298240
0	33	426	380	372	251	47	0	3208960	-1226752	302848
0	33	426	380	372	251	47	0	3217664	-1223936	308992
0	75	500	385	392	275	88	0	3220992	-1222912	307456
0	75	500	385	392	275	88	0	3228416	-1220608	308992
0	155	554	381	395	285	134	0	3236864	-1217792	302848
0	200	560	380	388	283	188	0	3241728	-1216256	299776
0	200	560	380	388	283	188	0	3247616	-1214464	305920
0	277	575	329	336	282	235	0	3250432	-1213696	304384
3	344	580	328	354	280	256	0	3259904	-1210624	304384
0	373	585	328	354	280	256	0	3267584	-1208320	301312
1	419	584	357	378	275	279	9	3272192	-1206784	298240
1	419	584	357	378	275	279	9	3279872	-1204480	290304
12	463	581	356	363	279	310	10	3282944	-1203456	290304
19	480	585	327	326	277	316	9	3290880	-1201152	285696
25	496	584	327	326	277	316	16	3298304	-1199104	281088
30	501	576	349	361	279	312	17	3302912	-1197568	282624
30	501	576	349	361	279	312	17	3311104	-1195264	281088
39	511	586	358	362	277	320	16	3314432	-1194240	278016
46	520	584	372	369	282	316	21	3323136	-1191936	273408
54	524	590	372	369	282	316	23	3330304	-1189888	282624
54	516	590	349	354	273	321	26	3334400	-1188608	282624
54	516	590	349	354	273	321	26	3342080	-1186560	274944
61	525	589	351	345	278	317	23	3345152	-1185536	273408
58	523	589	364	350	280	321	34	3353600	-1183232	276480
61	526	593	364	350	280	321	30	3361280	-1180928	273408
70	532	591	358	374	278	306	35	3366400	-1179648	279552
70	532	591	358	374	278	306	35	3374592	-1177344	279552
64	529	596	373	381	272	306	35	3381504	-1175296	270336
65	537	594	377	367	271	308	31	3384832	-1174272	270336
78	538	596	377	367	271	308	37	3393536	-1171968	270336
72	533	590	362	345	270	307	30	3397888	-1170688	270336
72	533	590	362	345	270	307	30	3405824	-1168640	271872
76	543	596	339	336	267	309	34	3414016	-1166080	278016
76	549	611	347	344	263	307	46	3416320	-1165568	282624
68	535	615	347	344	263	307	39	3423232	-1163520	284160
68	529	612	359	367	259	314	37	3429120	-1161984	285696
68	529	612	359	367	259	314	37	3437312	-1159424	279552
74	537	618	363	397	259	313	43	3444992	-1157376	276480
73	546	615	382	404	261	310	43	3447808	-1156352	271872
74	552	615	382	404	261	310	46	3455488	-1154304	265472
79	555	609	380	376	266	301	40	3460608	-1153024	263936
79	555	609	380	376	266	301	40	3468032	-1150976	259328
78	563	595	357	350	262	306	43	3475712	-1148928	254720
80	567	594	344	349	266	302	37	3479040	-1148160	256256
84	558	589	344	349	266	302	32	3487488	-1145856	254720
83	559	584	346	359	260	297	37	3492608	-1144576	253184
82	562	581	334	349	258	294	42	3500288	-1142528	259328
81	556	579	309	358	258	313	44	3507712	-1140480	254720
73	555	571	318	368	255	302	37	3510528	-1139712	247040
79	556	552	318	368	255	302	37	3517952	-1137920	231424
83	566	536	302	337	260	292	35	3522560	-1136896	228352
84	560	508	286	313	251	287	32	3530496	-1135104	215808
85	561	458	274	303	250	287	34	3538176	-1133568	209664
88	565	442	262	279	248	289	29	3541504	-1132800	211200
90	552	414	262	279	248	289	34	3549952	-1131008	200192
95	555	337	268	240	232	291	28	3554304	-1130240	190976
95	551	295	252	224	217	283	29	3561984	-1128704	189440
92	547	234	272	208	202	287	33	3570176	-1127168	203520
89	512	211	264	217	163	299	30	3573504	-1126400	208128
87	502	179	264	217	163	299	35	3581952	-1124608	214272
