PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
9	3	5	2331	3035	0	20	18	9728	-1280	871424
12	0	0	2334	3030	0	18	22	9728	-1280	871424
6	0	0	2337	3040	1	12	18	9728	-1280	871424
6	0	0	2337	3040	1	12	18	9728	-1280	871424
15	6	0	2335	3033	0	26	17	9728	-1280	871424
15	6	0	2336	3046	0	15	17	9728	-1280	871424
17	0	0	2332	3027	4	15	24	9728	-1280	871424
12	5	0	2324	3031	0	20	18	9728	-1280	871424
12	5	0	2324	3031	0	20	18	9728	-1280	871424
14	1	0	2300	3036	1	20	17	9728	-1280	871424
14	1	0	2209	2438	0	21	17	9728	-1280	871424
10	4	0	1675	2126	6	12	13	9728	-1280	871424
4	2	3	1036	1188	0	6	17	9728	-1280	871424
4	2	3	1036	1188	0	6	17	9728	-1280	871424
14	9	5	890	985	0	19	17	9728	-1280	871424
14	9	5	640	668	4	10	17	9728	-1280	871424
14	2	0	560	575	2	19	12	9728	-1280	871424
12	0	0	391	369	0	17	20	9728	-1280	871424
12	0	0	391	369	0	17	20	11264	512	843520
12	0	7	360	257	0	20	14	14080	3584	838912
12	0	7	342	224	3	11	14	20480	11008	863744
11	0	3	414	252	0	17	13	25856	17408	896512
9	0	0	406	353	2	7	9	27904	19968	918272
9	0	0	406	353	2	7	9	32256	25856	935168
8	0	0	340	380	8	15	8	34560	28928	936704
8	0	0	338	335	3	17	8	39168	35328	929024
1	0	0	324	337	5	9	12	44032	41984	929024
0	0	1	378	372	5	6	9	46080	44544	925952
0	0	1	378	372	5	6	9	51200	51456	927488
2	0	0	401	410	2	7	4	54528	55808	927488
2	0	0	442	447	10	10	4	58880	61696	921344
3	0	6	479	452	11	0	0	64256	68608	919808
0	0	12	471	440	22	8	5	66304	71424	927488
0	0	12	471	440	22	8	5	70144	76544	938240
0	0	19	411	441	21	2	0	72960	80640	943104
0	0	19	393	427	24	8	0	78336	87808	933632
1	0	24	367	406	31	3	0	82944	94208	925952
0	0	32	364	363	45	8	2	84736	96512	922880
0	0	32	364	363	45	8	2	89856	102912	918272
3	0	63	369	353	52	0	0	92928	107264	916480
0	0	78	400	377	68	3	1	98304	113920	921344
0	0	78	400	377	68	3	1	103168	120576	924416
0	0	115	387	382	96	16	0	104960	123136	930560
0	0	115	387	382	96	16	0	110080	130048	935168
0	0	173	377	391	113	16	0	112896	133632	932096
0	2	232	354	370	144	17	5	117760	140288	922880
0	2	232	354	370	144	17	5	122368	146176	927488
2	18	313	345	347	193	30	0	123648	148224	925952
2	18	313	345	347	193	30	0	129024	155136	919808
0	27	447	330	339	239	35	1	134656	162560	921344
1	36	511	302	323	251	75	0	137728	166656	921344
1	36	511	302	323	251	75	0	141824	171776	914944
3	92	537	279	291	269	102	0	143616	174336	911872
3	92	537	279	291	269	102	0	149248	181248	905728
0	204	569	287	291	277	123	0	154368	187904	902656
0	286	573	296	293	276	182	0	157184	191488	902656
0	286	573	296	293	276	182	0	162560	198656	907264
2	370	582	268	287	280	242	0	164864	201216	904192
2	370	582	268	287	280	242	0	169728	207616	896512
8	451	579	270	270	278	250	0	174848	213760	894976
6	471	585	234	234	281	278	4	177408	217088	899584
6	471	585	234	234	281	278	4	182272	223488	901120
17	505	579	250	262	274	294	8	184832	226304	899584
17	505	579	250	262	274	294	8	189952	232704	899584
32	512	580	262	282	279	307	14	194816	239104	891648
36	520	571	311	315	283	306	9	198144	243200	888576
36	520	571	311	315	283	306	9	203520	249600	882432
49	529	563	292	321	283	308	16	205312	251904	882432
49	529	563	292	321	283	308	16	210688	258304	874752
64	539	553	278	285	293	310	26	216064	264704	871424
64	537	546	257	259	297	307	26	219136	268544	869888
64	537	546	257	259	297	307	26	224512	274688	866816
68	538	538	282	261	295	313	27	226560	277248	865280
80	531	539	282	276	298	326	28	231424	283136	877824
71	519	548	282	276	298	326	33	236288	288768	882432
71	509	540	280	292	293	324	40	239872	293120	883968
71	509	540	280	292	293	324	40	245504	300032	880896
77	512	539	293	332	294	325	43	247808	302848	880896
74	511	533	282	337	304	323	36	252672	308736	868352
83	513	523	282	337	304	323	39	257024	313600	854528
87	525	516	299	320	303	314	29	260096	317184	849920
87	525	516	299	320	303	314	29	265984	323840	846592
81	514	497	314	338	309	307	30	268032	326144	841984
78	516	489	322	333	313	311	30	273664	332288	837376
83	504	474	322	333	313	311	33	279808	339200	829696
