PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
8	0	0	2185	2436	3	22	11	2150656	-907520	5819904
4	2	7	2184	2435	0	23	6	2150656	-907520	5819904
6	0	2	2185	2435	11	17	16	2150656	-907520	5819904
5	0	2	2225	2432	6	19	10	2150656	-907520	5819904
3	0	0	2196	2439	2	20	9	2150656	-907520	5819904
3	2	2	2196	2439	2	20	6	2150656	-907520	5819904
0	1	5	1499	1761	2	25	10	2150656	-907520	5819904
6	1	5	1088	1521	6	19	10	2150656	-907520	5819904
5	0	1	844	912	1	25	14	2150656	-907520	5819904
4	0	4	573	728	2	18	3	2150656	-907520	5819904
5	2	0	573	728	2	18	7	2150656	-907520	5819904
6	0	0	311	379	0	14	8	2151168	-907776	5832448
5	2	2	261	269	1	16	14	2152704	-908544	5848064
6	6	0	169	246	1	21	6	2158848	-911104	5863424
6	0	0	173	245	6	9	8	2162432	-912640	5857280
0	0	1	173	245	6	9	7	2170880	-916736	5829376
1	0	10	221	244	0	18	5	2177536	-920064	5806080
0	0	1	242	236	0	9	8	2181376	-922112	5801472
0	0	4	233	222	0	17	3	2189312	-926208	5796608
0	0	5	247	224	2	18	1	2192384	-928000	5796608
0	0	4	247	224	2	18	3	2199552	-931584	5803008
0	0	9	245	221	0	9	0	2207488	-935680	5812224
0	0	8	243	245	2	13	5	2211840	-937984	5813760
3	0	8	229	234	3	10	5	2217984	-941056	5815296
0	2	9	243	231	0	14	4	2220800	-942592	5813760
0	0	13	273	239	1	14	8	2229504	-946944	5812224
0	4	22	286	248	0	0	6	2235392	-949760	5832448
0	3	20	262	248	0	11	5	2238720	-951552	5838592
2	2	24	253	245	3	14	0	2247168	-955392	5844992
0	0	17	293	289	0	8	4	2250496	-956928	5843456
0	2	25	294	300	0	12	3	2257152	-960256	5841664
0	0	41	320	307	1	13	1	2265088	-963840	5843456
0	0	41	320	323	0	4	0	2269696	-966144	5844992
0	0	55	306	314	0	6	7	2277376	-969728	5848064
0	1	61	319	320	0	8	5	2280192	-971008	5851136
2	3	73	320	310	0	8	0	2287360	-974336	5849600
0	6	104	331	306	1	4	0	2294784	-977664	5854208
0	0	106	328	283	1	6	0	2299136	-979712	5855744
0	6	148	300	275	0	2	0	2307328	-983296	5858816
0	6	160	298	269	0	3	1	2310400	-984832	5861888
0	11	188	291	276	0	9	0	2316800	-987648	5875968
0	5	222	291	268	2	1	0	2323200	-990208	5886720
0	10	247	271	269	3	2	1	2328320	-992256	5888512
0	14	331	277	294	1	6	0	2336256	-995840	5888512
0	26	374	284	315	0	6	0	2343680	-998912	5885184
0	46	426	300	313	2	2	0	2346752	-1000192	5880576
0	59	444	320	335	0	7	0	2354176	-1003264	5869824
0	98	460	330	325	2	0	0	2358528	-1005312	5868288
0	126	468	315	344	3	5	0	2366976	-1008896	5866752
0	194	487	330	358	0	9	0	2374656	-1012480	5857280
0	236	484	351	382	3	12	0	2376960	-1013504	5849600
2	294	481	351	373	2	8	0	2383104	-1016320	5843456
0	323	484	352	352	1	5	4	2388480	-1018880	5835520
0	377	474	377	369	0	5	0	2396416	-1022720	5835520
6	391	474	371	379	0	0	0	2402048	-1025280	5843456
8	393	478	350	369	0	0	0	2405632	-1027072	5844992
8	401	478	363	418	0	2	0	2413568	-1030912	5838592
11	424	469	382	421	0	2	0	2417664	-1032704	5827840
21	429	463	370	391	0	1	0	2424320	-1036032	5819904
31	442	455	365	381	0	4	0	2432000	-1039872	5812224
35	446	447	384	383	0	6	1	2435072	-1041408	5812224
37	440	449	383	377	0	0	0	2441728	-1044992	5809152
38	439	441	397	394	0	1	0	2446080	-1047040	5806080
50	441	432	419	425	0	9	0	2453504	-1050880	5804544
49	437	429	464	433	0	1	0	2460672	-1054720	5806080
54	432	424	481	459	0	0	0	2464256	-1056512	5806080
57	423	425	534	489	0	0	0	2471936	-1060352	5810688
57	423	422	570	540	0	5	0	2473216	-1061120	5812224
58	417	418	494	497	0	2	2	2473216	-1061120	5812224
59	416	423	434	348	0	0	1	2473216	-1061120	5812224
62	424	426	336	293	0	0	0	2473984	-1061632	5818368
54	416	424	301	245	0	5	0	2481152	-1064960	5833984
52	404	431	302	260	0	0	0	2486528	-1067520	5843456
55	391	434	295	273	0	6	0	2494208	-1071104	5846528
56	386	442	307	298	0	5	0	2500608	-1074176	5849600
49	385	438	307	298	0	0	0	2503680	-1075456	5854208
48	388	449	322	304	0	3	0	2511872	-1079296	5854208
51	390	451	326	321	0	4	0	2516224	-1081344	5855744
48	388	451	330	324	0	0	0	2523648	-1084672	5858816
56	388	466	323	325	0	4	0	2531840	-1088256	5861888
52	385	467	331	338	0	1	0	2534656	-1089536	5860352
57	395	469	337	327	0	3	3	2541056	-1092608	5855744
54	405	471	335	322	0	3	0	2549248	-1096192	5854208
52	410	480	343	335	0	5	0	2554368	-1098496	5855744
