PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
12	0	0	2346	2618	0	24	12	0	0	0
8	0	1	2345	2627	2	23	12	0	0	0
9	1	0	2350	2617	1	23	18	0	0	0
13	0	0	2355	2618	5	19	25	0	0	0
11	0	0	2348	2621	0	17	9	0	0	0
7	3	0	2349	2626	3	14	24	0	0	0
12	0	0	2354	2621	6	18	17	0	0	0
14	0	0	2351	2617	0	8	29	0	0	0
8	0	0	2356	2624	1	17	20	0	0	0
14	2	0	2352	2618	0	11	17	0	0	0
9	0	0	2362	2624	0	15	18	0	0	0
9	0	0	2498	2626	0	12	14	0	0	0
7	1	0	2194	2258	6	15	16	0	0	0
7	1	0	1119	1538	5	19	16	0	0	0
7	0	0	799	719	0	17	19	0	0	0
10	0	4	498	549	5	18	22	0	0	0
16	2	0	385	356	1	13	19	0	0	6281472
10	0	0	279	295	0	21	18	2304	-256	6247424
10	0	0	236	177	6	14	18	9472	-512	6234880
9	0	0	204	141	0	20	14	13056	-768	6239488
7	0	0	217	149	5	17	12	22528	-1024	6255104
0	0	0	236	157	0	11	5	30976	-1280	6283008
3	0	0	225	176	0	17	6	35840	-1024	15360
3	0	0	218	194	0	0	6	43008	-1024	23296
3	0	0	218	211	8	13	13	46080	-1024	26368
3	0	0	220	210	6	9	3	55040	-768	29440
4	0	0	242	235	9	8	0	62976	-512	29440
0	0	0	239	236	9	1	0	68352	-256	32512
0	0	0	248	247	8	0	0	77312	0	32512
0	0	0	253	259	17	6	3	79872	256	29440
0	0	0	242	260	14	4	1	87296	256	26368
4	0	1	237	253	18	9	9	96768	512	24832
6	0	0	249	262	19	7	3	100608	768	27904
6	0	0	232	262	22	8	3	107776	768	21504
2	0	0	220	250	23	2	0	111360	1024	15360
2	0	0	226	244	32	3	1	119808	1024	3072
0	0	0	229	233	37	5	0	127744	1024	6281472
0	0	0	234	242	45	9	0	132864	1024	6283008
0	0	0	248	250	52	10	0	141312	1024	1536
0	0	0	248	263	73	0	0	144640	1024	1536
0	0	0	290	294	106	6	0	152832	1024	6278400
0	0	0	290	294	106	6	0	160768	1024	6270720
0	0	0	296	299	116	13	0	165632	1024	6272256
0	0	0	312	310	133	8	0	174336	768	6267648
2	0	2	329	317	175	10	0	177664	768	6264320
0	0	0	344	323	274	25	0	185344	512	6272256
0	0	0	344	323	274	25	0	192256	512	3072
0	0	0	320	332	300	26	2	197632	512	6144
0	0	0	326	342	355	36	2	206848	768	3072
0	0	0	360	363	382	56	0	210432	768	3072
0	0	0	357	363	431	111	0	217856	768	6279936
0	0	0	357	363	431	111	0	225536	768	6275328
0	0	0	361	345	440	133	0	230912	512	6275328
0	0	0	357	351	454	205	0	239360	512	6279936
0	0	0	345	357	458	252	5	242432	512	6278400
0	0	0	334	354	465	342	0	251392	512	6279936
0	0	0	334	354	465	342	0	258816	512	6269184
0	0	0	330	340	467	391	0	262912	256	6259712
0	0	0	311	328	474	401	0	272128	0	6256640
0	2	0	288	320	481	428	2	278784	0	6259712
0	0	3	214	283	493	475	6	281600	0	6253568
0	0	3	214	283	493	475	6	290560	-512	6242560
0	0	0	207	261	506	469	17	295936	-768	6234880
0	0	0	214	261	516	484	17	303616	-1024	6219264
0	0	5	237	255	532	479	14	311552	-1792	6210048
0	0	0	219	251	558	499	8	315136	-2048	6210048
0	0	0	219	251	558	499	8	323072	-2560	6200832
0	0	0	211	242	573	495	41	327424	-2816	6199040
0	0	0	221	252	588	522	41	335104	-3584	6185216
0	0	1	250	250	618	526	30	343040	-4352	6179072
0	0	0	340	273	663	534	44	346624	-4864	6180608
0	0	0	340	273	663	534	44	355328	-5632	6183680
0	0	0	370	296	679	562	43	359424	-6144	6194432
0	0	5	412	311	705	615	54	366592	-6656	6214656
0	0	5	412	311	705	615	54	374784	-7168	6239488
0	0	2	416	342	700	692	66	378368	-7168	6247424
0	0	2	416	342	700	692	66	387328	-7424	6264320
0	0	0	432	375	692	704	77	392448	-7424	6272256
0	0	0	399	393	697	743	73	399360	-7680	6272256
0	0	0	399	393	697	743	73	407296	-7680	6278400
0	0	3	408	414	689	753	73	411136	-7680	6279936
0	0	3	408	414	689	753	73	419840	-7680	6278400
0	0	0	439	426	695	751	72	424448	-7680	6278400
0	0	0	451	469	687	751	81	433152	-7680	3072
0	0	0	451	469	687	751	81	440320	-7680	6281472
0	0	0	465	492	689	771	81	443648	-7680	6278400
0	0	0	465	492	689	771	81	452608	-7936	6273792
0	0	4	509	509	693	756	71	456192	-7936	6278400
3	0	1	360	430	685	776	82	456704	-7936	6278400
3	0	1	360	430	685	776	82	459008	-7936	6272256
0	0	0	284	348	699	757	75	462592	-7936	6259712
0	0	0	284	348	699	757	75	472576	-8192	6244096
0	0	4	312	365	732	752	67	477696	-8448	6236416
0	0	0	347	361	765	738	64	484608	-8704	6225664
0	0	0	347	361	765	738	64	493312	-9216	6222336
0	0	2	423	368	790	753	61	496640	-9472	6222336
0	0	2	423	368	790	753	61	504064	-9984	6230272
0	1	0	417	357	804	783	73	511744	-10240	6237952
0	0	0	372	299	810	825	72	516608	-10496	6244096
0	0	0	372	299	810	825	72	525056	-10752	6259712
0	0	4	354	285	786	860	78	528384	-11008	6261248
0	0	4	354	285	786	860	78	537088	-11008	6275328
0	0	0	339	269	776	873	89	544000	-11008	15360
0	0	0	285	268	691	925	99	548352	-11008	24832
0	0	0	285	268	691	925	99	557056	-10752	30976
0	0	7	268	286	568	924	111	560896	-10496	34048
0	0	7	268	286	568	924	111	569344	-10240	37120
0	0	2	267	295	515	928	109	576512	-9984	23296
0	0	0	212	251	378	885	98	581120	-9984	19968
0	0	0	212	251	378	885	98	589824	-9728	12288
0	0	0	262	272	194	837	87	592896	-9728	7680
0	0	0	262	272	194	837	87	600576	-9728	0
0	0	2	282	266	144	801	85	610048	-9728	6281472
0	0	0	323	299	67	715	82	614656	-9728	6281472
0	0	0	323	299	67	715	82	621568	-9728	3072
0	0	3	309	314	24	545	85	625408	-9728	6144
0	5	2	304	342	18	459	92	633856	-9728	15360
0	0	5	304	342	18	459	88	640512	-9472	13824
0	0	6	293	367	5	294	93	645632	-9472	3072
0	0	6	293	367	5	294	93	654336	-9472	6270720
0	0	4	393	373	1	187	77	657664	-9472	6265856
0	0	5	406	376	3	169	70	665344	-9728	6261248
0	4	3	406	376	3	169	68	673792	-9984	6272256
0	1	0	434	426	0	103	68	678656	-9984	6273792
0	1	0	434	426	0	103	68	686592	-9984	6278400
0	0	0	447	458	0	69	55	689920	-9984	6279936
0	0	6	449	445	0	58	44	698112	-9984	6279936
0	0	4	449	445	0	58	42	706816	-9984	6278400
0	1	6	513	456	1	39	41	711680	-9984	6270720
0	1	6	513	456	1	39	41	719360	-10240	6281472
0	1	8	434	473	3	31	31	721920	-10240	7680
0	3	0	459	510	3	20	36	729344	-9984	10752
0	1	2	459	510	3	20	19	737792	-9984	0
0	0	0	541	524	3	14	14	742656	-9984	6279936
0	0	0	541	524	3	14	14	744704	-9984	6281472
0	0	7	420	408	0	14	13	744960	-9984	6281472
0	0	5	327	360	4	23	14	745984	-9984	6279936
0	0	7	327	360	4	23	21	754432	-9984	6275328
0	1	0	456	439	3	25	17	759296	-10240	6265856
0	1	0	456	439	3	25	17	767744	-10240	6272256
0	0	11	956	885	0	7	2	773120	-10240	6273792
0	0	11	1481	1287	0	7	3	773120	-10240	6273792
0	0	12	1481	1287	0	7	4	773120	-10240	6273792
0	1	8	1487	1270	0	15	4	773120	-10240	6273792
0	1	8	1487	1270	0	15	4	773120	-10240	6273792
0	2	6	1477	1283	1	7	7	773120	-1024
