PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
13	5	0	2101	2026	0	12	16	809728	-14592	5717504
13	5	0	2101	2026	0	12	16	809728	-14592	5717504
6	1	0	2093	2029	0	19	7	809728	-14592	5717504
10	0	0	2100	2031	5	16	24	809728	-14592	5717504
10	0	0	2100	2031	5	16	8	809728	-14592	5717504
12	4	1	2101	2041	2	13	16	809728	-14592	5717504
12	4	1	2101	2041	2	13	16	809728	-14592	5717504
7	0	0	2101	2052	5	19	13	809728	-14592	5717504
13	5	0	2004	1956	0	17	13	809728	-14592	5717504
10	0	0	2004	1956	0	17	16	809728	-14592	5717504
12	0	0	1178	1115	4	16	15	809728	-14592	5717504
12	0	0	1178	1115	4	16	15	809728	-14592	5717504
10	1	0	715	620	5	16	12	809728	-14592	5717504
10	6	0	511	435	1	17	23	809728	-14592	5717504
6	0	0	511	435	1	17	17	809728	-14592	5717504
12	0	0	334	281	4	11	19	811008	-15360	5715968
12	0	0	334	281	4	11	19	818176	-19968	5714432
11	0	0	370	324	0	11	14	826112	-24832	5723648
2	0	0	383	322	0	12	13	828416	-26624	5729792
2	0	2	383	322	0	12	14	834560	-30208	5740800
5	0	0	316	294	4	8	6	838400	-32512	5746944
5	0	0	316	294	4	8	6	845568	-36864	5751552
4	0	0	278	287	0	10	6	852736	-40960	5754880
4	0	0	247	278	8	2	4	855552	-42752	5754880
0	0	0	247	278	8	2	5	863488	-47360	5753344
4	0	0	297	320	7	11	1	867072	-49408	5750016
3	0	0	309	317	11	7	1	872960	-52736	5746944
0	0	0	314	314	20	0	1	880384	-57344	5739264
0	0	0	324	315	19	5	3	883456	-59136	5739264
0	0	0	324	315	19	5	0	890624	-63232	5742336
0	0	0	285	294	26	9	0	894464	-65792	5737728
0	0	0	272	286	32	13	0	901632	-70144	5733120
0	0	0	267	285	33	0	4	908544	-74496	5733120
0	0	0	265	285	34	0	2	911616	-76288	5729792
0	0	0	265	285	34	0	2	918784	-80640	5720576
1	0	4	310	309	50	5	0	923136	-83456	5719040
