PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	0	2	56	37	0	4	2	0	0	0
0	0	0	60	46	3	0	0	1792	-256	19968
0	1	1	62	43	3	1	0	3584	-256	49664
0	0	0	59	43	3	0	0	3584	0	55808
0	0	0	62	50	0	0	0	3072	0	45056
0	0	0	57	42	5	4	0	3584	0	24832
0	0	0	62	44	4	2	0	4096	0	29440
0	0	3	61	46	1	2	0	5376	0	35584
0	0	0	55	43	0	0	0	3840	0	51200
0	0	0	58	42	5	1	0	4352	-256	52736
0	1	3	59	36	2	1	0	4096	-256	16896
0	4	0	59	40	2	1	0	3584	-256	57344
0	0	0	55	42	0	0	0	3328	-256	45056
0	0	0	56	39	0	0	0	2816	-256	43264
0	4	0	59	32	3	0	0	3584	-256	27904
0	0	0	64	43	0	5	0	2816	-256	37120
0	0	0	57	39	7	3	0	1280	-256	40192
0	0	0	58	43	0	2	0	3840	0	46592
0	0	0	61	39	0	1	0	2048	-256	46592
