PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	2	0	46	42	0	0	0	-4352	512	6279936
0	0	0	64	52	3	0	0	-3328	512	6273792
0	0	3	77	42	5	3	0	-1024	512	6267648
0	0	34	115	44	0	1	0	-2304	512	6261248
0	2	172	191	51	0	0	0	-1536	512	6250496
0	65	849	199	48	0	3	0	-1536	512	6256640
0	719	941	210	52	5	0	0	-2048	512	6269184
49	839	933	198	50	0	2	0	-2304	512	6259712
82	848	923	198	41	1	0	0	-2048	512	6265856
90	844	920	197	53	1	0	0	-3584	512	6264320
95	878	908	192	47	0	0	0	-1280	512	6262784
101	881	897	144	46	1	0	0	-2304	512	6262784
99	882	742	81	46	2	0	0	-2048	512	6256640
98	744	98	82	50	0	0	1	-2304	512	6261248
90	178	47	107	48	4	0	0	-1024	512	6270720
36	48	120	92	50	0	2	0	-3072	512	6264320
19	70	210	63	49	0	1	0	-2304	512	6248960
7	207	106	61	42	0	2	0	-2560	512	6279936
24	164	12	61	44	0	0	0	-2304	512	6262784
